# Index  Shot#  Recv#  Measured[s]  Calculated[s]  Residual[s]
   304      4     25  0.017770  0.018405  -0.000635
   305      4     26  0.018640  0.017795  0.000845
   306      4     27  0.017000  0.016392  0.000608
   307      4     28  0.014470  0.013950  0.000520
   308      4     29  0.010800  0.009684  0.001116
   309      4     30  0.007640  0.004916  0.002724
   310      4     32  0.007520  0.004874  0.002646
   311      4     33  0.010800  0.009534  0.001266
   312      4     34  0.013590  0.013514  0.000076
   313      4     35  0.015860  0.015835  0.000025
   314      4     36  0.017760  0.017187  0.000573
   315      4     37  0.017760  0.017500  0.000260
   316      4     38  0.017630  0.018199  -0.000569
   317      4     39  0.018510  0.019203  -0.000693
   318      4     40  0.019390  0.019971  -0.000581
   319      4     41  0.019270  0.019742  -0.000472
   320      4     42  0.020160  0.021156  -0.000996
   321      4     43  0.021550  0.021296  0.000254
   322      4     44  0.022810  0.021722  0.001088
   323      4     45  0.023190  0.022131  0.001059
   324      4     46  0.021800  0.022014  -0.000214
   325      4     48  0.021770  0.022533  -0.000763
   326      4     49  0.022050  0.023211  -0.001161
   327      4     50  0.022050  0.023424  -0.001374
   328      4     51  0.021800  0.022246  -0.000446
   329      4     52  0.022050  0.023208  -0.001158
   330      4     53  0.024060  0.023903  0.000157
   331      4     54  0.023080  0.024408  -0.001328
   332      4     56  0.023570  0.025386  -0.001816
   333      4     66  0.026510  0.028253  -0.001743
   334      4     68  0.028230  0.028774  -0.000544
   335      4     69  0.028480  0.029323  -0.000843
   336      4     70  0.027990  0.029688  -0.001698
   337      4     71  0.027010  0.029981  -0.002971
   338      4     72  0.028720  0.029904  -0.001184
   339      4     73  0.029950  0.029956  -0.000006
   340      4     74  0.028230  0.029793  -0.001563
   341      4     75  0.028970  0.029822  -0.000852
   342      4     76  0.028970  0.030156  -0.001186
   343      4     77  0.029460  0.030802  -0.001342
   344      4     78  0.029460  0.031714  -0.002254
   345      4     79  0.030690  0.031976  -0.001286
   346      4     80  0.031180  0.032960  -0.001780
   347      4     81  0.032160  0.035744  -0.003584
   348      4     82  0.034370  0.034589  -0.000219
   349      4     83  0.034620  0.034460  0.000160
   350      4     84  0.036580  0.034601  0.001979
   351      4     85  0.036580  0.034870  0.001710
   352      4     86  0.036580  0.035345  0.001235
   353      4     87  0.038300  0.036369  0.001931
   354      4     88  0.038800  0.036929  0.001871
   355      4     89  0.039530  0.037016  0.002514
   356      4     90  0.039040  0.037251  0.001789
   357      4     91  0.038300  0.037697  0.000603
   358      4     92  0.039290  0.036668  0.002622
   359      4     93  0.038300  0.036080  0.002220
   360      4     94  0.037570  0.036922  0.000648
   361      4     95  0.039040  0.038661  0.000379
   362      4     96  0.039530  0.038116  0.001414
   363      4     97  0.040760  0.037619  0.003141
   364      4     98  0.040270  0.037660  0.002610
   365      4     99  0.039530  0.038091  0.001439
   366      4    100  0.039040  0.038893  0.000147
   367      4    101  0.039530  0.041120  -0.001590
   368      4    102  0.040270  0.039074  0.001196
   369      4    103  0.041250  0.038638  0.002612
   370      4    104  0.041740  0.038822  0.002918
   371      5      1  0.033430  0.033215  0.000215
   372      5      2  0.032800  0.033515  -0.000715
   373      5      3  0.032800  0.032448  0.000352
   374      5      4  0.032040  0.031788  0.000252
   375      5      5  0.030920  0.031251  -0.000331
   376      5      6  0.030480  0.031307  -0.000827
   377      5      7  0.030280  0.031160  -0.000880
   378      5      8  0.031910  0.030500  0.001410
   379      5      9  0.031150  0.030220  0.000930
   380      5     10  0.030520  0.030722  -0.000202
   381      5     11  0.029590  0.031961  -0.002371
   382      5     12  0.029300  0.030163  -0.000863
   383      5     15  0.027820  0.028408  -0.000588
   384      5     16  0.026990  0.027413  -0.000423
   385      5     17  0.025980  0.026808  -0.000828
   386      5     18  0.026100  0.026592  -0.000492
   387      5     19  0.025850  0.025899  -0.000049
   388      5     20  0.025350  0.025354  -0.000004
   389      5     21  0.024590  0.024450  0.000140
   390      5     22  0.024590  0.024778  -0.000188
   391      5     23  0.024460  0.024800  -0.000340
   392      5     24  0.024580  0.024455  0.000125
   393      5     25  0.024450  0.023763  0.000687
   394      5     26  0.023440  0.023603  -0.000163
   395      5     27  0.022060  0.022878  -0.000818
   396      5     28  0.021810  0.022045  -0.000235
   397      5     29  0.021060  0.021205  -0.000145
   398      5     30  0.020790  0.020406  0.000384
   399      5     31  0.020410  0.019742  0.000668
   400      5     32  0.019780  0.019913  -0.000133
   401      5     33  0.020410  0.019801  0.000609
   402      5     34  0.018770  0.019135  -0.000365
   403      5     35  0.018390  0.018401  -0.000011
   404      5     36  0.017760  0.017488  0.000272
   405      5     37  0.015990  0.015726  0.000264
   406      5     38  0.013210  0.012947  0.000263
   407      5     39  0.010550  0.009362  0.001188
   408      5     40  0.006510  0.004800  0.001710
   409      5     42  0.006760  0.004821  0.001939
   410      5     43  0.010300  0.009444  0.000856
   411      5     44  0.013080  0.012994  0.000086
   412      5     45  0.015730  0.015586  0.000144
   413      5     46  0.017000  0.016908  0.000092
   414      5     47  0.016870  0.017208  -0.000338
   415      5     48  0.017500  0.017734  -0.000234
   416      5     49  0.018260  0.018580  -0.000320
   417      5     50  0.019020  0.019014  0.000006
   418      5     51  0.019530  0.018495  0.001035
   419      5     52  0.020280  0.019460  0.000820
   420      5     53  0.020620  0.020155  0.000465
   421      5     54  0.021110  0.020660  0.000450
   422      5     55  0.022090  0.021660  0.000430
   423      5     56  0.022830  0.021654  0.001176
   424      5     57  0.022830  0.022394  0.000436
   425      5     59  0.023810  0.023435  0.000375
   426      5     60  0.023320  0.023360  -0.000040
   427      5     61  0.022830  0.024005  -0.001175
   428      5     62  0.022830  0.024170  -0.001340
   429      5     63  0.021850  0.023850  -0.002000
   430      5     64  0.023320  0.024566  -0.001246
   431      5     65  0.024300  0.024542  -0.000242
   432      5     66  0.025040  0.024795  0.000245
   433      5     68  0.025040  0.025316  -0.000276
   434      5     69  0.025530  0.025866  -0.000336
   435      5     70  0.024790  0.026230  -0.001440
   436      5     72  0.025530  0.026446  -0.000916
   437      5     73  0.025290  0.026498  -0.001208
   438      5     74  0.025290  0.026335  -0.001045
   439      5     75  0.026020  0.026364  -0.000344
   440      5     76  0.026020  0.026698  -0.000678
   441      5     77  0.027990  0.027345  0.000645
   442      5     78  0.029460  0.028257  0.001203
   443      5     79  0.027990  0.028518  -0.000528
