# Cell_X[m]  Cell_Y[m]  Velocity[m/s]
16.200718  -0.738826  277.583109
21.287834  -1.210623  280.437157
10.259194  -0.111516  200.125642
10.466523  -0.457488  200.516800
14.665153  -1.045876  289.571679
15.501691  -0.201338  232.042235
14.109858  -0.694999  233.874461
14.559246  -0.364767  215.209672
13.018852  -0.357765  201.493074
13.116609  -0.657685  211.282434
9.425263  -0.937577  206.762191
16.333771  -1.129856  303.719013
50.093181  -0.341021  292.653872
50.907064  -0.723794  329.183216
48.412519  -1.085289  412.310313
54.436004  -1.039804  382.374312
51.801382  -1.070217  369.049166
59.361903  -1.041469  451.063921
53.826069  -0.677655  347.150791
54.024177  -1.059408  379.040189
53.037729  -0.358082  315.436545
53.064747  -1.063768  377.484756
53.309782  -1.452573  414.685189
55.765073  -1.422421  443.304082
20.571773  -0.377159  202.761270
21.544722  -0.908239  241.375005
20.042031  -1.217473  409.682588
18.944248  -1.026106  285.418983
24.135200  -1.797761  460.691824
26.337610  -0.636274  245.441991
26.016200  -0.548519  245.190288
26.492355  -0.352948  237.792868
24.002451  -0.295568  222.031441
23.734481  -0.910773  257.315141
21.796176  -2.080410  572.076716
23.449422  -0.792074  253.304247
22.790248  -0.571935  217.533493
23.169086  -1.098348  264.685863
31.367699  -0.965852  282.661433
33.210279  -1.593416  387.069782
30.524506  -0.309968  205.693347
30.294082  -0.927899  333.015660
30.542844  -1.362001  400.832615
36.238722  -1.416723  401.555659
29.336292  -0.699531  216.147811
29.826577  -1.128122  520.904589
27.015699  -0.348914  237.983903
27.888606  -0.966578  299.786438
26.398381  -0.963934  300.822858
27.551210  -1.286067  322.988976
36.779742  -0.690312  297.812970
36.908230  -1.064622  332.752506
36.032455  -0.338567  292.660287
36.026508  -1.021409  339.873295
34.972225  -1.129271  338.356719
39.358793  -1.183337  327.947146
33.722355  -1.379117  358.313421
34.227308  -1.600410  345.100613
32.992449  -0.371004  269.207083
33.109373  -0.726716  297.432528
42.953280  -1.015654  317.360109
44.088939  -1.051735  328.244246
42.020590  -0.316670  229.094345
41.752682  -0.954660  332.507204
39.834484  -2.031461  703.083018
45.899138  -1.082459  348.415494
40.801283  -0.581964  218.844955
41.186180  -1.121942  350.995323
38.608633  -0.380872  223.927498
39.581106  -0.896177  340.851037
37.339886  -1.149357  328.542510
37.504877  -1.649855  426.998418
44.557329  -0.319389  279.197495
45.348541  -0.719168  327.085479
43.693465  -1.357628  334.946169
48.862142  -1.132848  431.723362
48.268200  -0.716799  294.474204
46.299611  -1.063714  343.722067
