# Cell_X[m]  Cell_Y[m]  Velocity[m/s]
12.125000  -0.135804  139.732430
14.500000  -0.093383  207.338266
104.607379  -18.240000  6646.507463
89.450991  -0.557379  217.864428
14.881704  -0.498855  234.838226
89.000000  -0.222882  184.349047
13.500000  -0.093383  179.766083
88.375000  -0.135804  190.716166
33.500000  -0.587873  212.706220
87.000000  -0.222882  201.805254
38.875000  -0.082040  210.706764
83.000000  -0.222882  270.181985
11.291667  -0.175423  122.689049
14.692820  -0.376172  234.195972
89.500000  -0.093383  154.022287
43.712260  -0.427706  220.865142
91.712260  -0.427706  268.053444
91.708333  -0.180461  237.967578
15.500000  -0.095818  224.187892
89.708333  -0.214439  142.244028
43.500000  -0.093383  240.238254
17.500000  -0.093383  198.329663
94.022217  -0.376589  157.001525
18.500000  -0.093383  159.378998
93.000000  -0.222882  269.024177
92.875000  -0.087078  269.362645
18.712260  -0.427706  237.453844
92.708333  -0.180461  269.453871
17.291667  -0.214439  204.691966
92.000000  -0.222882  257.495887
15.708333  -0.182896  227.556830
19.685411  -1.685582  282.916585
95.523818  -0.900532  246.729022
20.875000  -0.087078  144.610681
103.875000  -0.135804  227.532469
94.000000  -0.160523  259.615817
22.000000  -0.160523  169.335274
93.875000  -0.087078  263.051863
25.125000  -0.135804  196.330192
28.500000  -0.093383  174.862403
95.708333  -0.180461  258.242478
95.291667  -0.214439  250.023909
28.079407  -0.470128  217.420842
31.035116  -0.962288  228.271296
96.708333  -0.180461  254.989001
97.000000  -0.222882  252.374048
29.943038  -1.867797  2334.700532
95.920593  -0.470128  253.268764
29.291667  -0.180461  147.632205
94.291667  -0.169263  255.562465
22.500000  -0.093383  185.462092
93.125000  -0.135804  269.293954
24.875000  -0.087078  194.813390
33.920593  -0.470128  212.666233
98.000000  -0.222882  216.821985
36.192156  -1.338182  186.222050
97.875000  -0.087078  220.547607
99.000000  -0.222882  188.164537
36.000000  -0.222882  234.530378
97.708333  -0.180461  224.732497
33.712260  -0.427706  212.671859
33.875000  -0.087078  226.438193
99.125000  -0.135804  181.018303
99.708333  -0.180461  150.199020
35.500000  -0.093383  229.109858
36.500000  -0.093383  240.221377
99.875000  -0.087078  149.137529
101.000000  -0.222882  216.339278
36.920593  -0.470128  211.531184
100.000000  -0.222882  152.374665
35.049520  -0.689878  211.680833
98.875000  -0.087078  196.322882
34.125000  -0.135804  224.522407
40.920593  -0.470128  194.303554
101.375000  -0.135804  212.379285
42.125000  -0.087078  253.409082
102.708333  -0.180461  221.346907
101.875000  -0.135804  217.108166
44.500000  -0.093383  236.588841
101.583333  -0.271609  216.854865
42.500000  -0.093383  257.648368
52.500000  -0.093383  237.079283
103.125000  -0.135804  224.528532
103.375000  -0.135804  224.668217
51.960670  -0.667614  207.352873
54.583333  -0.271609  239.267413
105.516231  -2.618750  203.609212
105.833333  -0.166667  2010.008262
53.548090  -1.585385  1688.346998
103.583333  -0.271609  227.394477
54.078902  -0.721799  211.537658
103.000000  -0.222882  224.386450
44.442820  -0.424898  243.081031
102.500000  -0.587873  242.591810
40.500000  -0.093383  169.664355
97.920593  -0.470128  240.569144
31.500000  -0.093383  222.878636
89.287740  -0.427706  217.730607
16.576425  -0.553119  212.324002
55.291667  -0.180461  242.020035
74.500000  -0.093383  266.435361
55.708333  -0.180461  246.133812
59.000000  -0.222882  241.311227
59.287740  -0.427706  252.630721
60.000000  -0.160523  196.601532
60.500000  -0.093383  194.832032
18.049520  -0.689878  235.670158
62.000000  -0.203097  248.651304
76.615783  -0.452056  251.590710
73.000000  -0.160523  271.095298
69.875000  -0.087078  200.177791
65.625000  -0.135804  233.968264
75.484176  -0.577981  258.095941
66.291667  -0.180461  233.043359
69.666843  -1.206829  196.161859
68.500000  -0.093383  219.863609
77.712260  -0.430141  255.513761
64.022201  -1.737430  1463.777032
