# Index  Shot#  Recv#  Measured[s]  Calculated[s]  Residual[s]
   334      4     68  0.028230  0.028480  -0.000250
   335      4     69  0.028480  0.028882  -0.000402
   336      4     70  0.027990  0.029393  -0.001403
   337      4     71  0.027010  0.029928  -0.002918
   338      4     72  0.028720  0.029632  -0.000912
   339      4     73  0.029950  0.029671  0.000279
   340      4     74  0.028230  0.029559  -0.001329
   341      4     75  0.028970  0.029351  -0.000381
   342      4     76  0.028970  0.029904  -0.000934
   343      4     77  0.029460  0.030432  -0.000972
   344      4     78  0.029460  0.030949  -0.001489
   345      4     79  0.030690  0.031643  -0.000953
   346      4     80  0.031180  0.032472  -0.001292
   347      4     81  0.032160  0.035037  -0.002877
   348      4     82  0.034370  0.033554  0.000816
   349      4     83  0.034620  0.033561  0.001059
   350      4     84  0.036580  0.033809  0.002771
   351      4     85  0.036580  0.034224  0.002356
   352      4     86  0.036580  0.034662  0.001918
   353      4     87  0.038300  0.035513  0.002787
   354      4     88  0.038800  0.036234  0.002566
   355      4     89  0.039530  0.036497  0.003033
   356      4     90  0.039040  0.036603  0.002437
   357      4     91  0.038300  0.037040  0.001260
   358      4     92  0.039290  0.036357  0.002933
   359      4     93  0.038300  0.036012  0.002288
   360      4     94  0.037570  0.036419  0.001151
   361      4     95  0.039040  0.038026  0.001014
   362      4     96  0.039530  0.037262  0.002268
   363      4     97  0.040760  0.036770  0.003990
   364      4     98  0.040270  0.036839  0.003431
   365      4     99  0.039530  0.037485  0.002045
   366      4    100  0.039040  0.038245  0.000795
   367      4    101  0.039530  0.040751  -0.001221
   368      4    102  0.040270  0.038669  0.001601
   369      4    103  0.041250  0.038329  0.002921
   370      4    104  0.041740  0.038428  0.003312
   371      5      1  0.033430  0.032641  0.000789
   372      5      2  0.032800  0.033834  -0.001034
   373      5      3  0.032800  0.032634  0.000166
   374      5      4  0.032040  0.031867  0.000173
   375      5      5  0.030920  0.031671  -0.000751
   376      5      6  0.030480  0.031593  -0.001113
   377      5      7  0.030280  0.031352  -0.001072
   378      5      8  0.031910  0.030968  0.000942
   379      5      9  0.031150  0.030885  0.000265
   380      5     10  0.030520  0.031238  -0.000718
   381      5     11  0.029590  0.032454  -0.002864
   382      5     12  0.029300  0.030475  -0.001175
   383      5     15  0.027820  0.028100  -0.000280
   384      5     16  0.026990  0.027143  -0.000153
   385      5     17  0.025980  0.026608  -0.000628
   386      5     18  0.026100  0.026454  -0.000354
   387      5     19  0.025850  0.025762  0.000088
   388      5     20  0.025350  0.025411  -0.000061
   389      5     21  0.024590  0.024371  0.000219
   390      5     22  0.024590  0.024685  -0.000095
   391      5     23  0.024460  0.024387  0.000073
   392      5     24  0.024580  0.024062  0.000518
   393      5     25  0.024450  0.023768  0.000682
   394      5     26  0.023440  0.023560  -0.000120
   395      5     27  0.022060  0.022664  -0.000604
   396      5     28  0.021810  0.021929  -0.000119
   397      5     29  0.021060  0.021240  -0.000180
   398      5     30  0.020790  0.020557  0.000233
   399      5     31  0.020410  0.019552  0.000858
   400      5     32  0.019780  0.019936  -0.000156
   401      5     33  0.020410  0.019730  0.000680
   402      5     34  0.018770  0.018980  -0.000210
   403      5     35  0.018390  0.018463  -0.000073
   404      5     36  0.017760  0.017825  -0.000065
   405      5     37  0.015990  0.017034  -0.001044
   406      5     38  0.013210  0.013676  -0.000466
   407      5     39  0.010550  0.009733  0.000817
   408      5     40  0.006510  0.005413  0.001097
   409      5     42  0.006760  0.005642  0.001118
   410      5     43  0.010300  0.009959  0.000341
   411      5     44  0.013080  0.013891  -0.000811
   412      5     45  0.015730  0.016661  -0.000931
   413      5     46  0.017000  0.016919  0.000081
   414      5     47  0.016870  0.017367  -0.000497
   415      5     48  0.017500  0.017814  -0.000314
   416      5     49  0.018260  0.018568  -0.000308
   417      5     50  0.019020  0.018977  0.000043
   418      5     51  0.019530  0.018039  0.001491
   419      5     52  0.020280  0.018972  0.001308
   420      5     53  0.020620  0.019792  0.000828
   421      5     54  0.021110  0.020482  0.000628
   422      5     55  0.022090  0.021041  0.001049
   423      5     56  0.022830  0.021249  0.001581
   424      5     57  0.022830  0.022045  0.000785
   425      5     59  0.023810  0.023256  0.000554
   426      5     60  0.023320  0.023293  0.000027
   427      5     61  0.022830  0.024091  -0.001261
   428      5     62  0.022830  0.024700  -0.001870
   429      5     63  0.021850  0.024510  -0.002660
   430      5     64  0.023320  0.025014  -0.001694
   431      5     65  0.024300  0.024948  -0.000648
   432      5     66  0.025040  0.024908  0.000132
   433      5     68  0.025040  0.025539  -0.000499
   434      5     69  0.025530  0.025942  -0.000412
   435      5     70  0.024790  0.026452  -0.001662
   436      5     72  0.025530  0.026691  -0.001161
   437      5     73  0.025290  0.026731  -0.001441
   438      5     74  0.025290  0.026618  -0.001328
   439      5     75  0.026020  0.026410  -0.000390
   440      5     76  0.026020  0.026964  -0.000944
   441      5     77  0.027990  0.027492  0.000498
   442      5     78  0.029460  0.028008  0.001452
   443      5     79  0.027990  0.028702  -0.000712
   444      5     80  0.027990  0.029560  -0.001570
   445      5     81  0.028230  0.032126  -0.003896
   446      5     82  0.027740  0.030643  -0.002903
   447      5     83  0.027740  0.030650  -0.002910
   448      5     84  0.030200  0.030898  -0.000698
   449      5     91  0.033640  0.034129  -0.000489
   450      5     92  0.034370  0.033446  0.000924
   451      5     99  0.035360  0.034574  0.000786
   452      5    100  0.037810  0.035334  0.002476
